userId,bookIndex,score
65674,745,3
45825,454,1
22291,1523,3
66943,1727,5
27529,1867,2
39153,1863,1
1976,169,5
62783,16,2
65107,1515,4
70275,2015,2
2011,90,3
73429,2103,5
14804,878,4
57884,1026,4
74587,530,4
52895,155,3
16433,2179,1
33895,491,3
77996,611,5
19683,344,1
61480,2216,3
12152,1385,1
43266,1473,1
74146,366,3
38951,2102,5
64943,1469,3
76803,2220,4
54300,85,4
72858,792,5
77876,903,4
4195,1092,4
36452,257,5
75304,1205,3
74598,406,5
872,989,1
69814,1986,4
39110,295,2
77838,758,4
76624,1555,5
69337,1545,4
68558,823,5
3234,433,2
35662,1459,5
7468,2149,1
36376,2068,2
57800,1423,3
21215,57,1
21419,1650,1
45368,1215,2
21534,364,5
53233,2137,5
4562,1092,2
17575,1237,4
7101,864,2
14680,68,5
53286,2260,2
52371,1976,1
5001,2255,2
5568,1642,4
62262,653,2
413,454,4
64450,2019,1
37120,1283,4
14120,1061,2
46327,786,1
21896,2128,5
25131,1726,4
3809,1774,1
15813,2035,3
14594,1846,1
13333,120,1
57,1797,5
11154,2035,2
17747,321,2
45899,644,5
60353,558,1
2687,616,1
988,523,2
59777,1856,5
1425,127,2
74905,1016,1
54738,1350,1
7983,2277,5
77392,664,2
26171,1399,5
34728,413,1
17474,2021,2
79462,1002,5
59229,950,3
60389,1755,1
42711,1583,4
49597,7,5
30610,1829,4
50164,1188,2
7495,1182,3
68674,2054,3
14082,375,1
27961,1893,1
49272,833,2
75110,1017,1
63169,1162,4
4200,2163,3
62319,594,3
44345,405,5
47028,1076,3
28364,714,4
50929,2049,1
73980,1529,3
37853,1142,1
11110,2089,2
43717,220,3
15354,748,1
36001,1858,4
31231,2251,5
75989,20,4
31404,963,5
57068,719,1
20717,2055,3
13256,876,1
52851,489,2
72420,1420,5
54642,291,5
6866,134,2
59701,1671,1
890,1625,1
63139,444,1
56469,1094,2
57950,687,1
50838,10,5
8543,848,4
30655,1692,4
74207,2263,4
8568,615,5
9499,1085,3
